run_name,model,augmentation,finetune,accuracy,precision,recall,f1,params_m,trainable_params_m,flops_g,ckpt_size_mb,train_time_sec,infer_ms_per_image,confusion_matrix_path,confusion_matrix_norm_path,top_confident_wrong_path,wandb_url
efficientnet_b0_aug_finetune_all,efficientnet_b0,aug,finetune_all,0.903123345685548,0.8876237753109089,0.8991043275800241,0.8906750023591204,4.67573,4.67573,,18.13874626159668,738.387506900006,3.373806881954989,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_efficientnet_b0_aug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_efficientnet_b0_aug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_efficientnet_b0_aug_finetune_all.csv,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/bvl804aa
vit_base_patch16_224_aug_linear_probe,vit_base_patch16_224,aug,linear_probe,0.8861831656961355,0.8805946111190056,0.8705382785118722,0.8744476867231015,86.204694,85.460502,,328.9156713485718,870.6509052000474,7.3389441503730515,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_vit_base_patch16_224_aug_linear_probe.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_vit_base_patch16_224_aug_linear_probe.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_vit_base_patch16_224_aug_linear_probe.csv,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/vmvs7p59
resnet18_aug_linear_probe,resnet18,aug,linear_probe,0.8824775013234516,0.8814260847799953,0.8647122160814181,0.8635680517136197,11.451478,8.668694,,43.77074718475342,0.0,2.7183106934771044,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_resnet18_aug_linear_probe.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_resnet18_aug_linear_probe.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_resnet18_aug_linear_probe.csv,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/6ntwzz4i
resnet18_noaug_finetune_all,resnet18,noaug,finetune_all,0.8565378507146638,0.8419813499183342,0.8515924549353457,0.8443294146342244,11.451478,11.451478,,43.77100467681885,310.18189350003377,3.158843144527925,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_resnet18_noaug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_resnet18_noaug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_resnet18_noaug_finetune_all.csv,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/o6ivs4qo
vit_base_patch16_224_noaug_finetune_all,vit_base_patch16_224,noaug,finetune_all,0.8591847538380095,0.8537804529398682,0.8411303172105318,0.8435050357872922,86.204694,86.204694,,328.9159860610962,577.2459529999178,4.808469348852836,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_vit_base_patch16_224_noaug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_vit_base_patch16_224_noaug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_vit_base_patch16_224_noaug_finetune_all.csv,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/8d4ztwj4
swin_tiny_patch4_window7_224_aug_frozen,swin_tiny_patch4_window7_224,aug,frozen,0.8448914769719428,0.8392887916760294,0.8323280968316216,0.8330633196201837,27.925392,0.406038,,106.60744380950928,761.4884774000384,3.9984317628426167,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_swin_tiny_patch4_window7_224_aug_frozen.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_swin_tiny_patch4_window7_224_aug_frozen.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_swin_tiny_patch4_window7_224_aug_frozen.csv,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/6gms10ey
efficientnet_b0_noaug_frozen,efficientnet_b0,noaug,frozen,0.8205399682371625,0.8088899789720915,0.7872014130472954,0.7946193469592651,4.67573,0.668182,,18.1372013092041,338.5670562000014,3.158258020105269,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_efficientnet_b0_noaug_frozen.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_efficientnet_b0_noaug_frozen.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_efficientnet_b0_noaug_frozen.csv,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/4ios2rea
resnet18_aug_frozen,resnet18,aug,frozen,0.8073054526204341,0.8102251875132367,0.770938821452491,0.7777735236450483,11.451478,0.274966,,43.76991367340088,0.0,2.54031889888277,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_resnet18_aug_frozen.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_resnet18_aug_frozen.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_resnet18_aug_frozen.csv,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/55qp9qji
