run_name,model,augmentation,finetune,accuracy,precision,recall,f1,params_m,trainable_params_m,flops_g,ckpt_size_mb,train_time_sec,epochs_trained,early_stopped,infer_ms_per_image,confusion_matrix_path,confusion_matrix_norm_path,misclassified_path,top_confident_wrong_path,ckpt,wandb_url
resnet18_noaug_finetune_all,resnet18,noaug,finetune_all,0.8565378507146638,0.8419813499183342,0.8515924549353457,0.8443294146342244,11.451478,11.451478,,43.77100467681885,310.18189350003377,9,True,3.158843144527925,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_resnet18_noaug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_resnet18_noaug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\misclassified_resnet18_noaug_finetune_all.csv,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_resnet18_noaug_finetune_all.csv,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\resnet18_noaug_finetune_all.pt,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/o6ivs4qo
vit_base_patch16_224_noaug_finetune_all,vit_base_patch16_224,noaug,finetune_all,0.8591847538380095,0.8537804529398682,0.8411303172105318,0.8435050357872922,86.204694,86.204694,,328.9159860610962,577.2459529999178,10,False,4.808469348852836,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_vit_base_patch16_224_noaug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_vit_base_patch16_224_noaug_finetune_all.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\misclassified_vit_base_patch16_224_noaug_finetune_all.csv,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_vit_base_patch16_224_noaug_finetune_all.csv,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\vit_base_patch16_224_noaug_finetune_all.pt,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/8d4ztwj4
efficientnet_b0_noaug_frozen,efficientnet_b0,noaug,frozen,0.8205399682371625,0.8088899789720915,0.7872014130472954,0.7946193469592651,4.67573,0.668182,,18.1372013092041,338.5670562000014,10,False,3.158258020105269,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_efficientnet_b0_noaug_frozen.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\cm_norm_efficientnet_b0_noaug_frozen.png,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\misclassified_efficientnet_b0_noaug_frozen.csv,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\top_confident_wrong_efficientnet_b0_noaug_frozen.csv,C:\Users\haitr\OneDrive\Desktop\DL-Assignment-DNAC1\artifacts_image\efficientnet_b0_noaug_frozen.pt,https://wandb.ai/hai-trinh220970-ho-chi-minh-city-university-of-technology/co3133-btl1-image/runs/4ios2rea
